account_id,account_name,billing_state,customer_arr__c,number_of_locations__c,csm_name__c,account_ae,created_date
001000000000283AAA,Castaneda-Rodriguez,IL,11028.96,2,,Lisa Hensley,2021-11-21
001000000000284AAA,Armstrong-Andrews,GA,4978.80,5,,Dylan Miller,2022-03-21
001000000000285AAA,"Phillips, Spence and Barrett",CA,7365.60,3,,Brian Ramirez,2023-07-31
001000000000286AAA,Smith-Grimes,UT,27587.16,3,,Brian Ramirez,2022-11-01
001000000000287AAA,"Beltran, Lozano and Mcgee",GA,9582.72,4,Cristian Santos,Lisa Hensley,2024-03-24
001000000000288AAA,Parsons-Hall,NY,5664.12,1,,Lisa Jackson,2024-04-21
001000000000289AAA,Robinson-Lee,PA,2358.00,3,Noah Rhodes,Holly Wood,2024-11-28
001000000000290AAA,Byrd-Le,WA,8136.00,2,,Margaret Hawkins DDS,2023-07-03
001000000000291AAA,"Becker, Taylor and Davis",NC,2520.00,2,Angie Henderson,Monica Herrera,2023-04-23
001000000000292AAA,"Lucas, Parker and Alexander",FL,2004.24,1,,Lisa Jackson,2024-01-16
001000000000293AAA,"Diaz, Anderson and Browning",WA,4965.12,3,Angie Henderson,Jamie Arnold,2023-05-11
001000000000294AAA,Burgess-Thompson,TX,28101.00,5,,Jamie Arnold,2023-05-09
001000000000295AAA,Buchanan LLC,WA,2520.00,2,Cristian Santos,Ryan Munoz,2023-01-15
001000000000296AAA,"Shaw, Nelson and Martin",TN,31100.40,5,Connie Lawrence,Jamie Arnold,2025-09-15
001000000000297AAA,Coffey-Phillips,UT,18490.80,10,Daniel Wagner,Monica Herrera,2022-03-25
001000000000298AAA,Brock-Mcdonald,NC,20175.84,12,Gina Moore,Jamie Arnold,2022-03-13
001000000000299AAA,Taylor and Sons,AZ,7476.96,4,,Carla Gray,2026-05-01
001000000000300AAA,"Ramsey, Whitney and Coffey",TX,62377.92,8,,Monica Herrera,2025-01-17
001000000000301AAA,"Diaz, Gibbs and Smith",UT,5195.16,3,,Margaret Hawkins DDS,2025-07-28
001000000000302AAA,"Martinez, Richardson and Curry",WA,998.16,1,,Carla Gray,2024-02-06
001000000000303AAA,Richards-Carson,UT,2264.52,1,,Derek Zuniga,2026-02-10
001000000000304AAA,Rodriguez-Hall,CA,57333.36,7,Angie Henderson,Derek Zuniga,2023-09-11
001000000000305AAA,Harvey PLC,OH,3157.92,3,,Margaret Hawkins DDS,2025-06-10
001000000000306AAA,Herman-Walker,WA,6634.56,2,Allison Hill,Michele Williams,2025-08-14
001000000000307AAA,Reid Group,WA,96107.40,15,,Holly Wood,2025-12-12
001000000000308AAA,"Turner, Ortiz and Taylor",NY,9354.60,5,Allison Hill,Lisa Jackson,2024-08-10
001000000000309AAA,Torres Group,GA,930.96,1,,Dylan Miller,2025-10-03
001000000000310AAA,Davis PLC,FL,3270.84,1,Gina Moore,Holly Wood,2024-08-23
001000000000311AAA,Price LLC,OH,700.08,1,,Michele Williams,2024-05-03
001000000000312AAA,"Avery, Horton and Fernandez",TX,42769.44,21,Gina Moore,Holly Wood,2024-02-15
001000000000313AAA,"Newton, Moore and Perry",AZ,3267.72,3,,Lisa Hensley,2023-02-01
001000000000314AAA,Bass PLC,NC,5013.60,2,,Carla Gray,2022-05-28
001000000000315AAA,Crosby-Ramirez,FL,10297.44,2,Cristian Santos,Margaret Hawkins DDS,2023-08-29
001000000000316AAA,"Wood, Ramos and Sampson",FL,11458.80,5,Daniel Wagner,Dylan Miller,2025-06-28
001000000000317AAA,Garcia-Jennings,OH,21143.52,3,Daniel Wagner,Derek Zuniga,2025-11-04
001000000000318AAA,"Winters, Newman and Brown",GA,8069.28,2,Abigail Shaffer,Lisa Jackson,2021-10-20
001000000000319AAA,Lopez-Martinez,TN,5625.00,5,Abigail Shaffer,Monica Herrera,2026-03-10
001000000000320AAA,Davis-Lewis,OH,4493.52,6,,Jamie Arnold,2023-07-27
001000000000321AAA,"Harper, Smith and Buchanan",PA,8264.64,4,,Jamie Arnold,2023-04-01
001000000000322AAA,Zhang PLC,NC,5629.20,2,Cristian Santos,Lisa Hensley,2023-07-05
001000000000323AAA,Jones PLC,FL,6033.12,2,Cristian Santos,Michele Williams,2026-04-05
001000000000324AAA,Willis and Sons,AZ,3790.32,2,,Ryan Munoz,2024-04-28
001000000000325AAA,Schroeder-Kramer,TX,4867.80,5,Gabrielle Davis,Holly Wood,2022-01-04
001000000000326AAA,"Smith, Garrison and Thomas",OH,7318.08,9,Angie Henderson,Michele Williams,2025-01-24
001000000000327AAA,Fernandez and Sons,UT,6960.24,7,,Ryan Munoz,2022-06-30
001000000000328AAA,Guerrero Inc,WA,5250.00,2,,Lisa Jackson,2022-12-10
001000000000329AAA,Smith and Sons,WA,915.24,1,Cristian Santos,Dylan Miller,2024-03-18
001000000000330AAA,"Morris, Thompson and Williams",CA,4591.68,2,,Carla Gray,2022-02-20
001000000000331AAA,"Fisher, Wilson and Brown",TX,25005.00,5,Gina Moore,Holly Wood,2025-01-01
001000000000332AAA,Strickland-Palmer,IL,1621.68,1,,Brian Ramirez,2022-12-27
001000000000333AAA,Hayes and Sons,TN,2130.48,3,Connie Lawrence,Lisa Hensley,2023-03-14
001000000000334AAA,"Williams, Logan and Camacho",FL,73414.44,11,,Derek Zuniga,2025-08-08
001000000000335AAA,"Turner, Schneider and Johnson",OH,10345.80,5,,Lisa Hensley,2022-04-23
001000000000336AAA,Boone-Simmons,IL,12471.48,7,Gabrielle Davis,Lisa Hensley,2022-08-07
001000000000337AAA,Henry Group,CA,2748.96,3,,Ryan Munoz,2024-01-26
001000000000338AAA,Lam LLC,UT,32805.00,9,,Derek Zuniga,2026-03-26
001000000000339AAA,"Hernandez, Martinez and Weber",NC,5121.36,6,,Carla Gray,2024-09-24
001000000000340AAA,"Kelley, Nguyen and Vang",WA,4986.24,8,,Holly Wood,2025-12-06
001000000000341AAA,"Phillips, Wagner and Jordan",AZ,3000.96,4,Abigail Shaffer,Brian Ramirez,2024-06-30
001000000000342AAA,"Wilson, Pena and Rich",OH,2296.32,4,,Lisa Jackson,2025-06-21
001000000000343AAA,"Le, Lewis and Hayes",CO,14565.60,14,,Derek Zuniga,2025-11-30
001000000000344AAA,Gutierrez Group,IL,6004.08,3,Gina Moore,Dylan Miller,2026-03-15
001000000000345AAA,Perry-Davis,IL,20559.96,9,,Dylan Miller,2025-01-25
001000000000346AAA,Edwards-Scott,CA,9619.20,5,,Derek Zuniga,2023-12-01
001000000000347AAA,Mcdaniel Group,PA,28875.00,11,,Carla Gray,2023-06-24
001000000000348AAA,Davis Inc,NY,7262.64,3,Angie Henderson,Brian Ramirez,2025-12-18
001000000000349AAA,Reynolds Ltd,GA,3263.04,2,Cristian Santos,Dylan Miller,2025-04-20
001000000000350AAA,"Watson, Anderson and Brown",PA,9682.56,3,,Lisa Hensley,2023-08-12
001000000000351AAA,"Hoffman, Santiago and Jenkins",CA,10204.20,3,Daniel Wagner,Michele Williams,2023-10-11
001000000000352AAA,"Pugh, Henderson and Moon",FL,6235.20,6,,Brian Ramirez,2023-11-06
001000000000353AAA,Schmitt PLC,GA,10752.12,3,,Margaret Hawkins DDS,2022-10-19
001000000000354AAA,Bell-Lane,CO,5718.60,3,,Jamie Arnold,2024-04-11
001000000000355AAA,Moore Group,NC,5846.40,5,,Jamie Arnold,2026-05-17
001000000000356AAA,Boone LLC,TX,2422.08,3,Daniel Wagner,Margaret Hawkins DDS,2023-09-07
001000000000357AAA,"Richardson, Farmer and Andrews",GA,10368.00,5,,Monica Herrera,2024-01-03
001000000000358AAA,Bruce-Villegas,NY,4530.96,6,,Carla Gray,2025-11-12
001000000000359AAA,"Austin, Day and Johnson",CA,20407.20,10,,Jamie Arnold,2024-04-07
001000000000360AAA,"Gallegos, Adams and White",NY,2520.00,2,Gabrielle Davis,Holly Wood,2026-02-04
001000000000361AAA,"Farmer, Dorsey and Bell",PA,1989.84,2,Daniel Wagner,Jamie Arnold,2025-09-05
001000000000362AAA,Kane PLC,IL,11595.60,6,,Dylan Miller,2022-02-12
001000000000363AAA,"Morales, Thomas and Schultz",NY,11286.00,6,,Derek Zuniga,2025-10-20
001000000000364AAA,Bennett Group,UT,11060.64,6,Noah Rhodes,Carla Gray,2025-07-03
001000000000365AAA,Moore-Collins,NY,19559.04,8,Connie Lawrence,Ryan Munoz,2022-07-05
001000000000366AAA,Frank-Bradley,CA,6450.24,2,,Jamie Arnold,2024-05-28
001000000000367AAA,Ware and Sons,TX,4012.20,5,,Margaret Hawkins DDS,2022-08-08
001000000000368AAA,Webster Inc,CA,12183.84,3,Allison Hill,Michele Williams,2026-02-24
001000000000369AAA,"Miller, Ramos and Coleman",CO,18140.40,5,,Margaret Hawkins DDS,2026-02-16
001000000000370AAA,"Ramos, Nelson and Fischer",PA,7444.80,3,,Ryan Munoz,2024-05-05
001000000000371AAA,Reed Inc,WA,7815.60,3,Daniel Wagner,Jamie Arnold,2023-08-08
001000000000372AAA,Gregory-Watkins,CO,3622.56,4,,Monica Herrera,2021-10-27
001000000000373AAA,"Estrada, Williams and Foster",TX,2343.60,3,,Brian Ramirez,2022-01-04
001000000000374AAA,"Brown, Harris and Dougherty",FL,16049.28,4,Daniel Wagner,Lisa Hensley,2023-06-12
001000000000375AAA,Duran LLC,UT,21723.24,7,,Jamie Arnold,2021-11-13
001000000000376AAA,Wilson-Jimenez,TX,15465.60,3,,Jamie Arnold,2025-09-07
001000000000377AAA,Thompson-James,CA,41750.64,6,Angie Henderson,Monica Herrera,2022-03-14
001000000000378AAA,"Hall, Hansen and Barnett",PA,2505.24,3,,Lisa Jackson,2023-07-08
001000000000379AAA,Jones-Hensley,TX,28231.68,4,,Derek Zuniga,2024-03-30
001000000000380AAA,Graham Group,CA,5250.00,2,Gabrielle Davis,Lisa Jackson,2026-05-14
001000000000381AAA,Atkins PLC,PA,9768.96,12,,Brian Ramirez,2024-11-15
001000000000382AAA,Berry-Mckinney,CO,14504.64,4,,Brian Ramirez,2024-03-24
001000000000383AAA,Roberts-Sullivan,UT,13253.76,6,,Lisa Hensley,2025-07-13
001000000000384AAA,Jackson-Meza,NC,13230.00,2,,Brian Ramirez,2021-11-01
001000000000385AAA,Collier-Gillespie,NY,8982.48,2,,Monica Herrera,2023-05-10
001000000000386AAA,Kim Inc,FL,1926.48,1,,Dylan Miller,2024-05-20
001000000000387AAA,"Miller, Harrell and Reese",GA,5876.64,3,,Lisa Hensley,2024-07-11
001000000000388AAA,Cook and Sons,GA,8043.00,1,Abigail Shaffer,Michele Williams,2025-03-03
001000000000389AAA,Dixon Inc,AZ,9766.08,4,Connie Lawrence,Derek Zuniga,2024-09-02
001000000000390AAA,"Hicks, Bullock and Bailey",TX,895.32,1,Angie Henderson,Ryan Munoz,2026-05-01
001000000000391AAA,"Mullen, Brewer and Hernandez",PA,5114.16,3,Gabrielle Davis,Lisa Hensley,2022-08-09
001000000000392AAA,Thomas and Sons,AZ,33084.24,14,,Monica Herrera,2023-09-13
001000000000393AAA,Morrison Ltd,GA,1028.64,1,Noah Rhodes,Dylan Miller,2024-10-11
001000000000394AAA,Thompson Ltd,IL,11247.36,8,,Carla Gray,2021-11-23
001000000000395AAA,Marshall-Elliott,OH,33214.08,4,,Lisa Jackson,2023-11-22
001000000000396AAA,"Cole, Glass and Cunningham",NC,12487.68,8,,Dylan Miller,2026-05-02
001000000000397AAA,"Downs, Morris and Maddox",UT,10046.40,5,,Lisa Jackson,2023-05-14
001000000000398AAA,Hernandez-Jones,CA,15519.36,8,Daniel Wagner,Brian Ramirez,2024-08-06
001000000000399AAA,Welch-Hogan,TX,4500.00,4,Connie Lawrence,Margaret Hawkins DDS,2024-04-25
001000000000400AAA,"Brown, Romero and Collins",IL,4520.40,2,,Jamie Arnold,2024-08-27
001000000000401AAA,Johnson-Wood,TN,1640.16,2,Angie Henderson,Michele Williams,2022-10-03
001000000000402AAA,Jones-Lin,TN,3375.00,3,,Carla Gray,2024-10-21
001000000000403AAA,Gilbert PLC,CA,7527.96,3,,Dylan Miller,2023-03-13
001000000000404AAA,Ford-Spencer,NC,8204.88,2,,Margaret Hawkins DDS,2024-05-21
001000000000405AAA,"Huang, Cole and Pacheco",IL,14787.36,4,,Lisa Jackson,2024-07-07
001000000000406AAA,"Lopez, Jacobs and Mason",CA,633.36,1,Connie Lawrence,Monica Herrera,2022-08-23
001000000000407AAA,Hayes LLC,AZ,19616.40,3,,Holly Wood,2024-06-20
001000000000408AAA,"Miller, Lucas and Williams",WA,5250.00,2,,Derek Zuniga,2021-11-16
001000000000409AAA,"Kim, Gonzales and Mills",PA,4335.48,3,,Jamie Arnold,2024-03-16
001000000000410AAA,Cox LLC,TN,11243.40,5,,Lisa Hensley,2022-01-09
001000000000411AAA,Ortiz-Morgan,CO,2768.64,4,,Brian Ramirez,2025-12-27
001000000000412AAA,"Williams, Mccoy and Cook",CA,7823.52,4,Cristian Santos,Brian Ramirez,2022-09-01
001000000000413AAA,Davis-Gregory,FL,14691.84,8,,Monica Herrera,2025-12-09
001000000000414AAA,King-York,TN,2514.24,3,Daniel Wagner,Ryan Munoz,2026-01-03
001000000000415AAA,"Marks, Cook and Aguilar",TX,6484.68,1,,Holly Wood,2023-09-18
001000000000416AAA,Rangel LLC,NC,7979.40,3,,Jamie Arnold,2025-08-17
001000000000417AAA,"Hale, Myers and Larson",PA,24762.96,6,,Ryan Munoz,2023-10-06
001000000000418AAA,Collins Group,AZ,3136.32,4,Abigail Shaffer,Michele Williams,2025-01-18
001000000000419AAA,"Conner, Li and Santiago",TX,28254.24,12,,Dylan Miller,2023-10-18
